Number of Clusters,Davies-Bouldin Score
2,2.627767273144255
3,2.349731113263465
4,2.2779700151869573
5,2.119798636151003
6,2.1349144517204564
7,2.0482751587909984
8,1.9611125128537403
9,1.9889220936473204
10,1.9838287327377278
11,1.9380466131652931
12,1.9132915755253481
13,1.8466721960268013
14,1.8349612789155223
15,1.7871746166540161
16,1.7846679694492564
17,1.775331640643057
18,1.8053249866555088
19,1.7840109954224668
20,1.7813883071172973
