fold,epoch,accuracy,precision,recall,f1
1,1.0,0.8155023062211723,0.8166438495179617,0.8155023062211723,0.8158849200384691
1,2.0,0.8452769340383245,0.8452609892355685,0.8452769340383245,0.8452040831260101
1,3.0,0.856339295758803,0.8566078080012273,0.856339295758803,0.8564086099567914
1,4.0,0.858214272321596,0.8592966599048331,0.858214272321596,0.8586523659156589
1,5.0,0.8581017737278284,0.8598659098149034,0.8581017737278284,0.8588784920996321
2,1.0,0.8197022537218285,0.8164515070223416,0.8197022537218285,0.8178491239809764
2,2.0,0.844339445756928,0.8422341351846999,0.844339445756928,0.8431165508522908
2,3.0,0.8486893913826077,0.8517849836086597,0.8486893913826077,0.8499212064291115
2,4.0,0.8551768102898714,0.8557929224651724,0.8551768102898714,0.8553552085925336
2,5.0,0.8545768177897777,0.8556500553550116,0.8545768177897777,0.8550410090299218
3,1.0,0.8144078601965049,0.8117123488244179,0.8144078601965049,0.8129128141050705
3,2.0,0.8414085352133803,0.8423720069669651,0.8414085352133803,0.8418256477081268
3,3.0,0.8477836945923648,0.8498253074953781,0.8477836945923648,0.8483142174360883
3,4.0,0.8496212405310133,0.8515286843530976,0.8496212405310133,0.8500341223867632
3,5.0,0.8566714167854196,0.858635167559192,0.8566714167854196,0.857563468821372
