fold,epoch,accuracy,precision,recall,f1
1,1.0,0.6955555555555556,0.676258940385031,0.6955555555555556,0.6817554707923068
1,2.0,0.7294444444444445,0.736257656996294,0.7294444444444445,0.7324457937498106
1,3.0,0.735,0.7432475096981357,0.735,0.7385749332996306
1,4.0,0.7333333333333333,0.7368499403060786,0.7333333333333333,0.7349791180338424
1,5.0,0.7361111111111112,0.7365224715952872,0.7361111111111112,0.736165760658102
2,1.0,0.705,0.675768230010401,0.705,0.6818971964120869
2,2.0,0.7383333333333333,0.7316956887319446,0.7383333333333333,0.7345803026680033
2,3.0,0.7461111111111111,0.7395742137434684,0.7461111111111111,0.7424560361219298
2,4.0,0.75,0.7487504147936543,0.75,0.7491371148979845
2,5.0,0.75,0.7475240402859573,0.75,0.7486546976035081
3,1.0,0.6966666666666667,0.6756732382572997,0.6966666666666667,0.6718813821278291
3,2.0,0.7461111111111111,0.7377319717119696,0.7461111111111111,0.7406397059667251
3,3.0,0.7522222222222222,0.7474528292899987,0.7522222222222222,0.7494642330587956
3,4.0,0.7566666666666667,0.7526609740035123,0.7566666666666667,0.7524257747853049
3,5.0,0.7533333333333333,0.7453143698457988,0.7533333333333333,0.747879481200544
4,1.0,0.6794444444444444,0.6521874775551247,0.6794444444444444,0.6494715734658446
4,2.0,0.7038888888888889,0.6912049711133458,0.7038888888888889,0.6953156764040663
4,3.0,0.7227777777777777,0.7134036351165981,0.7227777777777777,0.7147709352785677
4,4.0,0.7233333333333334,0.7121714181458079,0.7233333333333334,0.7135135809359685
4,5.0,0.7283333333333334,0.7165962632994379,0.7283333333333334,0.7191066762518662
5,1.0,0.7127777777777777,0.6925232348429149,0.7127777777777777,0.6983776769419291
5,2.0,0.7227777777777777,0.718173398718114,0.7227777777777777,0.7193385432909359
5,3.0,0.7333333333333333,0.7303775580957146,0.7333333333333333,0.7291354563913918
5,4.0,0.7416666666666667,0.7452010120471394,0.7416666666666667,0.7429925297254699
5,5.0,0.7416666666666667,0.7390814083786316,0.7416666666666667,0.7400532647220128
