fold,epoch,accuracy,precision,recall,f1
1,1.0,0.7905923783171928,0.7841695419327143,0.7905923783171928,0.7861803205698241
1,2.0,0.8132310401207395,0.8106834109197533,0.8132310401207395,0.811128771460594
1,3.0,0.8196453276317445,0.8207202093809126,0.8196453276317445,0.8197531184114675
1,4.0,0.8191422462583323,0.821634923023628,0.8191422462583323,0.8189686469487797
1,5.0,0.821406112438687,0.8228304955264889,0.821406112438687,0.8215471230904632
1,6.0,0.8207772607219218,0.8237443066228959,0.8207772607219218,0.8216383717328175
1,7.0,0.8261853854861024,0.8311330338667042,0.8261853854861024,0.8279893055473185
1,8.0,0.8288265626965161,0.8306577770664019,0.8288265626965161,0.8289559875465129
1,9.0,0.8258080744560433,0.8297042690498477,0.8258080744560433,0.826780763040739
1,10.0,0.8273173185762797,0.8299698013312916,0.8273173185762797,0.8282906125898759
2,1.0,0.7965035844547855,0.7887495373617014,0.7965035844547855,0.7902524496831941
2,2.0,0.8220349641554522,0.8196952066004916,0.8220349641554522,0.8205188576788912
2,3.0,0.8298327254433404,0.8374861193712672,0.8298327254433404,0.8325894029896543
2,4.0,0.8322223619670481,0.837568789704634,0.8322223619670481,0.8343122097058825
2,5.0,0.8325996729971072,0.8316155434384946,0.8325996729971072,0.8318971718323873
2,6.0,0.8337316060872846,0.8373472085696645,0.8337316060872846,0.8352545119758734
2,7.0,0.8338573764306376,0.8360523894946136,0.8338573764306376,0.8344627752396871
2,8.0,0.8343604578040498,0.8367396604338186,0.8343604578040498,0.8348755311776324
2,9.0,0.8358697019242862,0.8413955281193106,0.8358697019242862,0.8379947291896575
2,10.0,0.8347377688341089,0.8382651990888109,0.8347377688341089,0.835987123747523
3,1.0,0.794742799647843,0.8003037549586257,0.794742799647843,0.7970872431796837
3,2.0,0.8183876241982141,0.8170130237043768,0.8183876241982141,0.8174541538885478
3,3.0,0.8251792227392781,0.8288584678787855,0.8251792227392781,0.8262238758892447
3,4.0,0.8258080744560433,0.8260582949780272,0.8258080744560433,0.825420608967904
3,5.0,0.82857502200981,0.8323612764784594,0.82857502200981,0.8299076929114344
3,6.0,0.8237957489623947,0.8279942527166361,0.8237957489623947,0.825570918690287
3,7.0,0.8251792227392781,0.8297402079480903,0.8251792227392781,0.8270555013281596
3,8.0,0.8226638158722174,0.8276273533611158,0.8226638158722174,0.824038082545138
3,9.0,0.8304615771601056,0.8327128065139026,0.8304615771601056,0.831389889993938
3,10.0,0.8289523330398691,0.830370344983261,0.8289523330398691,0.8293199619008251
4,1.0,0.8050314465408805,0.8063808598880411,0.8050314465408805,0.8056031181800872
4,2.0,0.8077987421383648,0.8138823608270667,0.8077987421383648,0.8085782124147698
4,3.0,0.8313207547169811,0.833868701937362,0.8313207547169811,0.8322684855177392
4,4.0,0.8289308176100629,0.8290028726737502,0.8289308176100629,0.8280768316557511
4,5.0,0.8355974842767295,0.8359282413760079,0.8355974842767295,0.8357530090068175
4,6.0,0.8309433962264151,0.830689328820188,0.8309433962264151,0.8296413450647694
4,7.0,0.830566037735849,0.8324493333899092,0.830566037735849,0.8311137223290309
4,8.0,0.8352201257861636,0.8352733092398935,0.8352201257861636,0.8352300939648011
4,9.0,0.8373584905660377,0.8401552447846591,0.8373584905660377,0.8384897880756331
4,10.0,0.8368553459119497,0.8387634342004876,0.8368553459119497,0.8376186057962312
5,1.0,0.7825157232704403,0.7820194387533409,0.7825157232704403,0.778593074982818
5,2.0,0.8182389937106919,0.8137122827217564,0.8182389937106919,0.8151776887029746
5,3.0,0.8247798742138365,0.832525036880624,0.8247798742138365,0.8273756200641146
5,4.0,0.819496855345912,0.8301765737390217,0.819496855345912,0.8232544631007561
5,5.0,0.8290566037735849,0.8319314944462615,0.8290566037735849,0.830215003814761
5,6.0,0.8260377358490566,0.8276200126801135,0.8260377358490566,0.826688886833658
5,7.0,0.8230188679245283,0.8241312292703186,0.8230188679245283,0.8231647654875741
5,8.0,0.8235220125786163,0.8257176086449394,0.8235220125786163,0.824379399719947
5,9.0,0.8245283018867925,0.8283694254700719,0.8245283018867925,0.8260288976449622
5,10.0,0.8262893081761006,0.8287071919845808,0.8262893081761006,0.8270058302630203
