fold,epoch,accuracy,precision,recall,f1
1,1.0,0.7411111111111112,0.7385463782857894,0.7411111111111112,0.7395148790989818
1,2.0,0.7622222222222222,0.7724818765436097,0.7622222222222222,0.76587913340075
1,3.0,0.7533333333333333,0.7665267499509509,0.7533333333333333,0.7584501742699634
1,4.0,0.7566666666666667,0.7576119400489515,0.7566666666666667,0.7564818591035345
1,5.0,0.7583333333333333,0.7614188151590012,0.7583333333333333,0.7595822183818768
2,1.0,0.7322222222222222,0.7462367892395418,0.7322222222222222,0.7362580662364472
2,2.0,0.7688888888888888,0.7609064977260688,0.7688888888888888,0.763169065405779
2,3.0,0.77,0.7799742044256691,0.77,0.7730746808488612
2,4.0,0.7622222222222222,0.771318233702745,0.7622222222222222,0.7659926740012534
2,5.0,0.7661111111111111,0.7724555438518806,0.7661111111111111,0.7685165497394589
3,1.0,0.7538888888888889,0.7624172966835908,0.7538888888888889,0.7573147526405535
3,2.0,0.765,0.7705779985879402,0.765,0.7674039946832275
3,3.0,0.7711111111111111,0.7737399452215439,0.7711111111111111,0.7723325328259183
3,4.0,0.7694444444444445,0.7701041065992575,0.7694444444444445,0.7695923797667158
3,5.0,0.7727777777777778,0.7723725324455287,0.7727777777777778,0.772455795641157
4,1.0,0.7238888888888889,0.7088589830266184,0.7238888888888889,0.7096826373003089
4,2.0,0.7333333333333333,0.7427433258620454,0.7333333333333333,0.7313246989675921
4,3.0,0.7522222222222222,0.7490220228832473,0.7522222222222222,0.7487185439959233
4,4.0,0.7633333333333333,0.7578308791862097,0.7633333333333333,0.7594238040844582
4,5.0,0.7611111111111111,0.7571855612319731,0.7611111111111111,0.7580647488380492
5,1.0,0.7277777777777777,0.7260656807071753,0.7277777777777777,0.7224012675857403
5,2.0,0.7566666666666667,0.7663241412403035,0.7566666666666667,0.7599480906422597
5,3.0,0.7561111111111111,0.7819280280531228,0.7561111111111111,0.7648419094657132
5,4.0,0.7616666666666667,0.7656091871037812,0.7616666666666667,0.7628674463887265
5,5.0,0.7611111111111111,0.7675268141781021,0.7611111111111111,0.7636699108361332
