fit_time,score_time,test_accuracy,test_f1_weighted,test_precision_weighted,test_recall_weighted
0.011170625686645508,0.009150981903076172,0.5775,0.5246293307215543,0.5374253169556612,0.5775
0.011006593704223633,0.008956432342529297,0.5755,0.5175831957535665,0.5280614473975365,0.5755
0.010838031768798828,0.00918436050415039,0.573,0.5216277887418432,0.5343742736678004,0.573
0.010962724685668945,0.00913095474243164,0.573,0.5187394897459264,0.518815001576124,0.573
0.010862350463867188,0.009403705596923828,0.5875,0.536944831302569,0.5514853400112916,0.5875
